,Country,Time,Gender,Age,Chronic_percentage,Acute_percentage
665,2,2016,1,8,0.0,0.0
666,2,2017,0,0,0.0,0.0
667,2,2017,0,1,0.07,0.0
668,2,2017,0,2,0.04,0.0
669,2,2017,0,3,0.08,0.0
670,2,2017,0,4,0.07,0.0
671,2,2017,0,5,0.0,25.0
672,2,2017,0,6,0.0,0.0
673,2,2017,0,7,0.03,0.0
674,2,2017,0,8,0.0,25.0
675,2,2017,1,0,0.0,0.0
676,2,2017,1,1,0.42,0.0
677,2,2017,1,2,0.24,0.0
678,2,2017,1,3,0.48,0.0
679,2,2017,1,4,0.42,0.0
680,2,2017,1,5,0.0,25.0
681,2,2017,1,6,0.0,0.0
682,2,2017,1,7,0.18,0.0
683,2,2017,1,8,0.0,25.0
684,2,2018,0,0,0.0,0.0
685,2,2018,0,1,0.28,0.0
686,2,2018,0,2,0.42,0.0
687,2,2018,0,3,0.44,25.0
688,2,2018,0,4,0.3,0.0
689,2,2018,0,5,0.06,25.0
690,2,2018,0,6,0.0,0.0
691,2,2018,0,7,0.02,0.0
692,2,2018,0,8,0.04,0.0
693,2,2018,1,0,0.0,0.0
694,2,2018,1,1,2.3800000000000003,0.0
695,2,2018,1,2,3.5700000000000003,0.0
696,2,2018,1,3,3.74,25.0
697,2,2018,1,4,2.5500000000000003,0.0
698,2,2018,1,5,0.51,25.0
699,2,2018,1,6,0.0,0.0
700,2,2018,1,7,0.17,0.0
701,2,2018,1,8,0.34,0.0
702,2,2019,0,0,0.0,0.0
703,2,2019,0,1,0.64,0.0
704,2,2019,0,2,1.04,0.0
705,2,2019,0,3,1.56,0.0
706,2,2019,0,4,0.64,0.0
707,2,2019,0,5,0.04,0.0
708,2,2019,0,6,0.0,0.0
709,2,2019,0,7,0.0,0.0
